,ID,timestamp,x,y,vx,vy,rgb_conf,lidar_conf,frame_index,YOLO_cls,L,T,R,B,X_LiDAR,Y_LiDAR,Z_LiDAR,l,w,h,rot
116,0,1747.000,32.083,-5.938,-0.092,0.162,NaN,NaN,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,1,1747.000,29.426,-4.378,0.318,0.146,NaN,NaN,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,2,1747.000,32.594,-11.750,0.146,-0.297,0.683,NaN,14,0,1098.000,193.000,1123.000,259.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,3,1747.000,28.143,-3.372,-0.193,0.191,0.594,0.170,14,0,773.000,196.000,802.000,279.000,28.120,-3.390,-1.210,1.680,0.510,1.800,2.419
120,5,1747.000,5.238,-8.094,-0.349,-0.052,NaN,NaN,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121,6,1747.000,34.026,-8.143,-0.011,0.231,0.659,NaN,14,0,922.000,191.000,951.000,252.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,7,1747.000,37.696,-14.323,-0.188,0.112,NaN,NaN,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123,9,1747.000,28.135,-5.935,0.153,-0.367,NaN,NaN,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124,10,1747.000,24.920,1.346,0.438,-0.180,0.545,NaN,14,0,528.000,193.000,566.000,281.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125,11,1747.000,14.889,4.238,-0.013,0.009,0.158,NaN,14,0,222.000,201.000,236.000,238.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,12,1747.000,27.888,-5.248,0.101,-0.258,0.753,NaN,14,0,865.000,192.000,898.000,267.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,0,1748.000,31.993,-5.778,-0.090,0.160,NaN,NaN,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128,1,1748.000,29.744,-4.231,0.319,0.147,NaN,NaN,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,2,1748.000,33.006,-11.934,0.309,-0.283,0.738,NaN,15,0,1102.000,192.000,1129.000,261.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,3,1748.000,27.853,-3.215,-0.212,0.181,0.656,0.144,15,0,758.000,196.000,798.000,278.000,27.740,-3.270,-1.060,1.060,0.560,1.870,2.291
131,5,1748.000,4.888,-8.143,-0.350,-0.050,NaN,NaN,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,6,1748.000,34.075,-7.818,0.007,0.276,0.339,0.290,15,0,917.000,191.000,940.000,232.000,34.110,-7.770,-1.050,1.780,0.540,1.870,1.629
133,7,1748.000,37.512,-14.214,-0.184,0.110,NaN,NaN,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,9,1748.000,28.294,-6.296,0.159,-0.360,NaN,NaN,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,10,1748.000,25.351,1.265,0.432,-0.134,0.475,NaN,15,0,530.000,192.000,569.000,257.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136,11,1748.000,14.867,4.260,-0.022,0.023,NaN,NaN,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137,12,1748.000,28.026,-5.323,0.113,-0.176,0.755,NaN,15,0,865.000,190.000,902.000,269.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,0,1750.000,31.903,-5.620,-0.090,0.158,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,1,1750.000,30.054,-4.086,0.310,0.144,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,2,1750.000,33.385,-12.247,0.356,-0.328,0.781,NaN,16,0,1098.000,189.000,1136.000,255.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,3,1750.000,27.681,-3.126,-0.202,0.143,0.456,0.174,16,0,757.000,196.000,790.000,276.000,27.630,-3.150,-1.200,1.790,0.570,1.750,-0.613
142,5,1750.000,4.535,-8.197,-0.353,-0.054,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143,6,1750.000,34.080,-7.540,0.005,0.277,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,7,1750.000,37.322,-14.101,-0.190,0.112,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145,9,1750.000,28.457,-6.662,0.163,-0.366,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,10,1750.000,26.305,1.127,0.629,-0.098,0.329,0.881,16,0,534.000,197.000,572.000,257.000,26.500,1.330,-1.040,1.780,0.560,1.720,0.638
147,11,1750.000,14.842,4.284,-0.025,0.024,NaN,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148,12,1750.000,28.412,-5.699,0.238,-0.239,0.736,0.147,16,0,875.000,190.000,911.000,268.000,28.500,-5.730,-1.050,0.790,0.540,1.790,-1.296
149,0,1751.000,31.816,-5.462,-0.087,0.158,NaN,NaN,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,1,1751.000,30.360,-3.947,0.306,0.139,NaN,NaN,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151,2,1751.000,33.772,-12.660,0.365,-0.405,0.778,0.066,17,0,1117.000,199.000,1142.000,256.000,33.860,-13.000,-1.360,0.810,0.510,1.690,-0.120
152,3,1751.000,27.326,-2.978,-0.278,0.157,0.587,0.743,17,0,749.000,197.000,790.000,275.000,27.190,-2.900,-1.150,1.850,0.710,1.910,2.537
153,5,1751.000,4.185,-8.249,-0.350,-0.052,NaN,NaN,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,6,1751.000,34.091,-7.260,0.011,0.280,NaN,NaN,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,7,1751.000,37.195,-13.791,-0.195,0.134,0.137,NaN,17,0,1102.000,192.000,1120.000,249.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,9,1751.000,28.619,-7.030,0.162,-0.368,NaN,NaN,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157,10,1751.000,26.741,1.129,0.537,-0.051,0.204,NaN,17,0,536.000,196.000,574.000,255.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,11,1751.000,14.820,4.319,-0.022,0.035,NaN,NaN,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159,12,1751.000,28.552,-5.881,0.184,-0.205,0.651,NaN,17,0,880.000,192.000,912.000,268.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,0,1753.000,31.727,-5.303,-0.089,0.159,NaN,NaN,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161,1,1753.000,30.673,-3.805,0.314,0.142,NaN,NaN,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
